Date,AAPL,AXP,CAT,HON,JNJ,JPM,KO,MCD,MRK,MSFT,^GSPC
2010-01-01,5.754693984985352,29.895450592041016,34.974369049072266,24.372783660888672,39.07341003417969,25.799293518066406,16.469341278076172,40.10753631591797,21.107587814331055,21.011972427368164,1073.8699951171875
2010-02-01,6.131030082702637,30.44826889038086,38.4552001953125,25.33155632019043,39.160438537597656,27.84018325805664,16.00485610961914,41.01980972290039,20.38888931274414,21.377338409423828,1104.489990234375
2010-03-01,7.041304588317871,32.89592742919922,42.36478042602539,28.778804779052734,40.83803176879883,29.684263229370117,16.697023391723633,43.22792434692383,20.648727416992188,21.941755294799805,1169.4300537109375
2010-04-01,7.8230390548706055,36.93098449707031,45.896846771240234,30.177379608154297,40.274314880371094,28.244827270507812,16.35927963256836,45.73530197143555,19.574499130249023,22.878154754638672,1186.68994140625
2010-05-01,7.696897029876709,31.92622947692871,41.21147537231445,27.189531326293945,36.516212463378906,26.284189224243164,15.731841087341309,43.32511520385742,18.82034683227539,19.32732391357422,1089.4100341796875
2010-06-01,7.536592483520508,31.790115356445312,40.74345397949219,24.9785099029541,37.33013916015625,24.311880111694336,15.340075492858887,43.035789489746094,19.535402297973633,17.31505012512207,1030.7099609375
2010-07-01,7.707982540130615,35.90708541870117,47.30908966064453,27.429643630981445,36.7170295715332,26.749046325683594,17.010046005249023,45.55770492553711,19.46395492553711,19.422060012817383,1101.5999755859375
2010-08-01,7.2840094566345215,32.070220947265625,44.49016189575195,24.997709274291992,36.040706634521484,24.178878784179688,17.247713088989258,47.733341217041016,19.859329223632812,17.66120719909668,1049.3299560546875
2010-09-01,8.502004623413086,33.80767059326172,53.72138977050781,28.323265075683594,39.532470703125,25.309358596801758,18.062557220458984,49.04527282714844,20.791297912597656,18.527067184448242,1141.199951171875
2010-10-01,9.018267631530762,33.349185943603516,53.6667594909668,30.36661148071289,40.66816711425781,25.023414611816406,19.070192337036133,51.19111633300781,20.723752975463867,20.1762638092041,1183.260009765625
2010-11-01,9.32298755645752,34.92912673950195,58.0816535949707,32.042564392089844,39.27088928222656,24.902549743652344,19.64552116394043,51.53999328613281,19.673585891723633,19.109582901000977,1180.550048828125
2010-12-01,9.664870262145996,34.686668395996094,64.3017349243164,34.48208999633789,39.80188751220703,28.245080947875977,20.595457077026367,50.92178726196289,20.569656372070312,21.244089126586914,1257.6400146484375
2011-01-01,10.167052268981934,35.058433532714844,66.60166931152344,36.330718994140625,38.46337127685547,29.92300796508789,19.68108367919922,48.871917724609375,19.133636474609375,21.107067108154297,1286.1199951171875
2011-02-01,10.583232879638672,35.35679244995117,70.99829864501953,37.56315994262695,39.53804397583008,31.12396240234375,20.016149520874023,50.205318450927734,18.787538528442383,20.231735229492188,1327.219970703125
2011-03-01,10.442407608032227,36.67952346801758,76.80619049072266,38.95685958862305,38.473548889160156,30.73065757751465,20.773956298828125,50.89006042480469,19.041339874267578,19.440181732177734,1325.8299560546875
2011-04-01,10.490950584411621,39.8281364440918,79.60667419433594,39.94853591918945,42.674808502197266,30.417354583740234,21.277841567993164,52.37483215332031,20.97955894470215,19.845977783203125,1363.6099853515625
2011-05-01,10.422030448913574,42.03969955444336,73.2818374633789,38.85245895385742,43.69425964355469,28.980459213256836,21.072826385498047,54.53510284423828,21.446422576904297,19.149229049682617,1345.199951171875
2011-06-01,10.057682991027832,42.12115478515625,73.73898315429688,39.09930419921875,43.56889343261719,27.438955307006836,21.22422218322754,56.81486129760742,20.594396591186523,20.0377140045166,1320.6400146484375
2011-07-01,11.699951171875,40.91655349731445,68.42642211914062,34.84097671508789,42.435791015625,27.11054039001465,21.60662269592285,58.270263671875,20.133264541625977,21.116670608520508,1292.280029296875
2011-08-01,11.53066349029541,40.6467170715332,63.29696273803711,31.36998748779297,43.09733200073242,25.328258514404297,22.381797790527344,60.918312072753906,19.525665283203125,20.5001220703125,1218.8900146484375
2011-09-01,11.425491333007812,36.713706970214844,51.36094665527344,29.02100372314453,42.08698272705078,20.311161041259766,21.463655471801758,59.573394775390625,19.289705276489258,19.303335189819336,1131.4200439453125
2011-10-01,12.128421783447266,41.39080810546875,65.70361328125,34.63221740722656,42.549537658691406,23.440099716186523,21.853145599365234,62.98557662963867,20.596105575561523,20.65277671813965,1253.300048828125
2011-11-01,11.451860427856445,39.4446907043457,68.45934295654297,35.788822174072266,42.767601013183594,21.06818962097168,21.50450325012207,64.79676055908203,21.342342376708984,19.83846092224121,1246.9599609375
2011-12-01,12.135015487670898,38.730350494384766,63.367557525634766,36.16728210449219,43.73807907104492,22.619216918945312,22.543506622314453,68.57161712646484,22.506473541259766,20.284767150878906,1257.5999755859375
2012-01-01,13.677510261535645,41.16893768310547,76.32083892822266,38.622798919677734,43.958160400390625,25.374345779418945,21.757369995117188,67.69682312011719,23.120990753173828,23.074321746826172,1312.4100341796875
2012-02-01,16.25313377380371,43.58906936645508,80.2379379272461,39.64093017578125,43.40461730957031,26.886240005493164,22.50806999206543,67.85396575927734,23.060575485229492,24.80118179321289,1365.6800537109375
2012-03-01,17.96431541442871,47.68507766723633,74.83535766601562,40.88203430175781,44.38009262084961,31.50431251525879,23.845151901245117,67.51844024658203,23.19952392578125,25.373451232910156,1408.469970703125
2012-04-01,17.497793197631836,49.62179946899414,72.20082092285156,40.62089157104492,43.801456451416016,29.44877815246582,24.769487380981445,67.0710678100586,23.97127342224121,25.18467903137207,1397.9100341796875
